left_up_x,left_up_y,left_down_x,left_down_y
116,74,149,107
80,121,126,174
21,145,35,169
74,134,157,302
108,134,126,158
108,134,154,207
113,134,126,157
173,91,204,125
166,137,193,187
167,137,180,160
142,165,158,201
205,86,283,203
180,136,208,188
180,161,193,185
279,86,349,149
219,201,250,259
68,293,96,335
124,278,184,334
138,278,157,302
111,300,138,328
124,304,138,328
161,291,184,325
321,88,406,153
237,236,250,259
166,291,184,340
166,291,184,325
171,291,201,328
321,113,335,127
186,291,201,317
171,302,184,325
311,155,375,251
109,332,135,367
311,164,324,187
134,335,154,372
80,353,101,421
80,353,99,380
80,353,127,426
145,334,165,371
306,200,333,244
307,200,333,244
213,312,239,346
224,312,239,337
340,181,356,202
13,386,34,584
111,370,156,427
256,308,269,331
345,209,375,275
351,209,375,239
283,295,296,318
283,295,329,328
156,380,170,405
156,380,178,421
111,398,127,426
248,335,276,371
248,336,261,360
362,209,375,232
302,296,329,322
139,401,156,427
208,371,256,420
323,299,390,366
57,437,159,517
286,336,319,370
300,344,319,369
142,451,164,491
119,466,135,491
167,466,180,489
194,467,234,521
233,454,296,512
282,427,311,459
56,513,82,554
89,513,131,554
331,405,369,445
124,520,153,560
372,385,411,431
136,522,153,548
380,385,411,431
279,467,296,491
381,392,411,449
390,392,411,431
391,392,411,431
232,503,266,557
317,462,357,518
397,408,411,431
331,464,357,500
169,549,199,581
338,467,357,500
325,477,391,558
201,548,234,581
288,509,312,551
344,477,357,500
344,477,391,558
325,495,338,518
234,548,281,581
363,488,391,558
350,500,391,558
364,500,391,558
371,500,391,558
378,535,391,558
423,569,436,593
